LE_MET_level6;Benthis_metiers;Benthis_metiers_reviewed;Benthis_metiers_old;Metier_level5;Metier_level4;JNCC_grouping;Fishing_category;Description
AG_UND_UND_0_0;;NA;;AG_UND;AG;NA;NA;NA
BTF_DEF_0_0_0;NA;NA;;BTF_DEF;BTF;NA;NA;NA
BTF_DEF_10-30_0_0;NA;NA;;BTF_DEF;BTF;NA;NA;NA
BTF_DEF_110-156_0_0;NA;NA;;BTF_DEF;BTF;NA;NA;NA
BTF_DEF_50-59_0_0;NA;NA;;BTF_DEF;BTF;NA;NA;NA
BTF_DEF_>=220_0_0;NA;NA;;BTF_DEF;BTF;NA;NA;NA
DIV_CEP_0_0_0;NA;NA;;DIV_CEP;DIV;NA;NA;NA
DIV_DEF_0_0_0;NA;NA;;DIV_DEF;DIV;NA;NA;NA
DIV_DES_0_0_0;NA;NA;;DIV_DES;DIV;NA;NA;NA
DIV_MOL_0_0_0;NA;NA;;DIV_MOL;DIV;NA;NA;NA
DRB_CRU_0-0_0_0;NA;DRB_MOL;;DRB_CRU;DRB;Boat_dredge;Dredge;Dredge
DRB_CRU_0_0_0;NA;DRB_MOL;;DRB_CRU;DRB;Boat_dredge;Dredge;Dredge
DRB_DEF_0-0_0_0;NA;DRB_MOL;;DRB_DEF;DRB;Boat_dredge;Dredge;Dredge
DRB_DES_0_0_0;NA;DRB_MOL;;DRB_DES;DRB;Boat_dredge;Dredge;Dredge
DRB_DWS_0-0_0_0;NA;DRB_MOL;;DRB_DWS;DRB;Boat_dredge;Dredge;Dredge
DRB_MOL_0;DRB_MOL;DRB_MOL;;DRB_MOL;DRB;Boat_dredge;Dredge;Dredge
DRB_MOL_0-0_0_0;DRB_MOL;DRB_MOL;;DRB_MOL;DRB;Boat_dredge;Dredge;Dredge
DRB_MOL_0_0_0;DRB_MOL;DRB_MOL;;DRB_MOL;DRB;Boat_dredge;Dredge;Dredge
DRB_MOL_30_0_0;;DRB_MOL;;DRB_MOL;DRB;Boat_dredge;Dredge;Dredge
DRB_MOL_>0_0_0;DRB_MOL;DRB_MOL;;DRB_MOL;DRB;Boat_dredge;Dredge;Dredge
DRB_NOC_0_0_0;;DRB_MOL;;DRB_NOC;DRB;Boat_dredge;Dredge;Dredge
DRB_SWD_0_0_0;NA;DRB_MOL;;DRB_SWD;DRB;Boat_dredge;Dredge;Dredge
FAR_SPF_624;NA;NA;;FAR_SPF;FAR;NA;Other;Aerial_net
FG_DEF_624;NA;NA;;FG_DEF;FG;NA;Static;Falling_gear
FNC_DEF_624;NA;NA;;FNC_DEF;FNC;NA;Static;Falling_gear
FOO_CEP_0_0_0;NA;NA;;FOO_CEP;FOO;NA;NA;NA
FOO_CRU_0_0_0;NA;NA;;FOO_CRU;FOO;NA;NA;NA
FOO_DES_0_0_0;NA;NA;;FOO_DES;FOO;NA;NA;NA
FOO_MOL_0_0_0;NA;NA;;FOO_MOL;FOO;NA;NA;NA
FPN_ANA_>0_0_0;NA;NA;;FPN_ANA;FPN;NA;Static;poundnet
FPN_CAT_0_0_0;NA;NA;;FPN_CAT;FPN;NA;Static;poundnet
FPN_CAT_>0_0_0;NA;NA;;FPN_CAT;FPN;NA;Static;poundnet
FPN_DEF_>0_0_0;NA;NA;;FPN_DEF;FPN;NA;Static;poundnet
FPN_FWS_>0_0_0;NA;NA;;FPN_FWS;FPN;NA;Static;poundnet
FPN_SPF_>0_0_0;NA;NA;;FPN_SPF;FPN;NA;Static;poundnet
FPO_ANA_0_0_0;NA;NA;;FPO_ANA;FPO;NA;Static;Pot
FPO_ANA_>0_0_0;NA;NA;;FPO_ANA;FPO;NA;Static;Pot
FPO_CAT_0_0_0;NA;NA;;FPO_CAT;FPO;NA;Static;Pot
FPO_CAT_10-30_0_0;NA;NA;;FPO_CAT;FPO;NA;Static;Pot
FPO_CAT_31-49_0_0;NA;NA;;FPO_CAT;FPO;NA;Static;Pot
FPO_CAT_>0_0_0;NA;NA;;FPO_CAT;FPO;NA;Static;Pot
FPO_CEP_0_0_0;NA;NA;;FPO_CEP;FPO;NA;Static;Pot
FPO_CRU_0;;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_0-0_0_0;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_0_0_0;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_10-30_0_0;;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_1249;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_1749;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_349;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_3999;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_50-70_0_0;;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_5000;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_624;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_>0_0_0;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_ALL_0_0;;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_CRU_UND_0_0;NA;NA;;FPO_CRU;FPO;NA;Static;Pot
FPO_DEF_0;;NA;;FPO_DEF;FPO;NA;Static;Pot
FPO_DEF_0-0_0_0;NA;NA;;FPO_DEF;FPO;NA;Static;Pot
FPO_DEF_0_0_0;NA;NA;;FPO_DEF;FPO;NA;Static;Pot
FPO_DEF_110-156_0_0;NA;NA;;FPO_DEF;FPO;NA;Static;Pot
FPO_DEF_349;NA;NA;;FPO_DEF;FPO;NA;Static;Pot
FPO_DEF_624;NA;NA;;FPO_DEF;FPO;NA;Static;Pot
FPO_DEF_>0_0_0;NA;NA;;FPO_DEF;FPO;NA;Static;Pot
FPO_FIF_0_0_0;NA;NA;;FPO_FIF;FPO;NA;Static;Pot
FPO_FIF_>0_0_0;NA;NA;;FPO_FIF;FPO;NA;Static;Pot
FPO_FIN_0_0_0;;NA;;FPO_FIN;FPO;NA;Static;Pot
