LE_MET_level6;Benthis_metiers;Benthis_metiers_reviewed;Benthis_metiers_old;Metier_level5;Metier_level4;JNCC_grouping;Fishing_category;Description
FPO_FWS_0_0_0;NA;NA;;FPO_FWS;FPO;NA;Static;Pot
FPO_FWS_10-30_0_0;NA;NA;;FPO_FWS;FPO;NA;Static;Pot
FPO_FWS_110-156_0_0;NA;NA;;FPO_FWS;FPO;NA;Static;Pot
FPO_FWS_31-49_0_0;NA;NA;;FPO_FWS;FPO;NA;Static;Pot
FPO_FWS_>0_0_0;NA;NA;;FPO_FWS;FPO;NA;Static;Pot
FPO_MCF_0-0_0_0;NA;NA;;FPO_MCF;FPO;NA;Static;Pot
FPO_MOL_0-0_0_0;NA;NA;;FPO_MOL;FPO;NA;Static;Pot
FPO_MOL_0_0_0;NA;NA;;FPO_MOL;FPO;NA;Static;Pot
FPO_MOL_>0_0_0;NA;NA;;FPO_MOL;FPO;NA;Static;Pot
FPO_MOL_>=29_0_0;;NA;;FPO_MOL;FPO;NA;Static;Pot
FPO_NOC_0_0_0;;NA;;FPO_MOL;FPO;NA;Static;Pot
FPO_SPF_0-0_0_0;NA;NA;;FPO_SPF;FPO;NA;Static;Pot
FPO_SPF_0_0_0;NA;NA;;FPO_SPF;FPO;NA;Static;Pot
FPO_SPF_10-30_0_0;NA;NA;;FPO_SPF;FPO;NA;Static;Pot
FPO_SPF_31-49_0_0;NA;NA;;FPO_SPF;FPO;NA;Static;Pot
FPO_SPF_50-59_0_0;NA;NA;;FPO_SPF;FPO;NA;Static;Pot
FPO_SPF_>0_0_0;NA;NA;;FPO_SPF;FPO;NA;Static;Pot
FPO_SPF_>=220_0_0;NA;NA;;FPO_SPF;FPO;NA;Static;Pot
FYK_CAT_0_0_0;NA;NA;;FYK_CAT;FYK;NA;Static;Fyke nets
FYK_CAT_>0_0_0;NA;NA;;FYK_CAT;FYK;NA;Static;Fyke nets
FYK_CRU_0_0_0;NA;NA;;FYK_CRU;FYK;NA;Static;Fyke nets
FYK_CRU_>0_0_0;NA;NA;;FYK_CRU;FYK;NA;Static;Fyke nets
FYK_DEF_0_0_0;NA;NA;;FYK_DEF;FYK;NA;Static;Fyke nets
FYK_FWS_>0_0_0;NA;NA;;FYK_FWS;FYK;NA;Static;Fyke nets
FYK_SPF_0_0_0;NA;NA;;FYK_SPF;FYK;NA;Static;Fyke nets
FYK_SPF_>0_0_0;NA;NA;;FYK_SPF;FYK;NA;Static;Fyke nets
GEN_DEF_1249;NA;NA;;GEN_DEF;GEN;NA;Static;Gillnet
GEN_DEF_1749;NA;NA;;GEN_DEF;GEN;NA;Static;Gillnet
GEN_DEF_2499;NA;NA;;GEN_DEF;GEN;NA;Static;Gillnet
GEN_DEF_349;NA;NA;;GEN_DEF;GEN;NA;Static;Gillnet
GEN_DEF_624;NA;NA;;GEN_DEF;GEN;NA;Static;Gillnet
GEN_DEF_874;NA;NA;;GEN_DEF;GEN;NA;Static;Gillnet
GEN_SPF_349;NA;NA;;GEN_SPF;GEN;NA;Static;Gillnet
GEN_UNK_349;NA;NA;;GEN_UNK;GEN;NA;Static;Gillnet
GNC_DEF_0;;NA;;GNC_DEF;GNC;NA;Static;Gillnet
GNC_DEF_0_0_0;NA;NA;;GNC_DEF;GNC;NA;Static;Gillnet
GNC_DEF_110-156_0_0;NA;NA;;GNC_DEF;GNC;NA;Static;Gillnet
GNC_DEF_157-219_0_0;NA;NA;;GNC_DEF;GNC;NA;Static;Gillnet
GNC_DEF_349;NA;NA;;GNC_DEF;GNC;NA;Static;Gillnet
GNC_SPF_0_0_0;NA;NA;;GNC_SPF;GNC;NA;Static;Gillnet
GND_ANA_0_0_0;NA;NA;;GND_ANA;GND;NA;Static;Drift_gillnets
GND_ANA_>=157_0_0;;NA;;GND_ANA;GND;NA;Static;Drift_gillnets
GND_CAT_0_0_0;NA;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_CAT_0_40_0;NA;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_CAT_100_119_0;NA;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_CAT_50_59_0;NA;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_CAT_50_70_0;NA;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_CAT_60_79_0;NA;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_CAT_80_99_0;;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_CAT_>=100_0;NA;NA;;GND_CAT;GND;NA;Static;Drift_gillnets
GND_DEF_0_0_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_0_40_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_100_119_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_10_30_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_120_219_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_40_49_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_50_59_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_50_70_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_60_79_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_80_99_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_90_99_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_>=100_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_>=220_0;NA;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_DEF_NA_0_0;;NA;;GND_DEF;GND;NA;Static;Drift_gillnets
GND_FWS_0_0_0;;NA;;GND_FWS;GND;NA;Static;Drift_gillnets
GND_LPF_0_0_0;NA;NA;;GND_LPF;GND;NA;Static;Drift_gillnets
GND_LPF_100_119_0;;NA;;GND_LPF;GND;NA;Static;Drift_gillnets
GND_LPF_50_59_0;NA;NA;;GND_LPF;GND;NA;Static;Drift_gillnets
GND_LPF_60_79_0;NA;NA;;GND_LPF;GND;NA;Static;Drift_gillnets
GND_LPF_80_99_0;NA;NA;;GND_LPF;GND;NA;Static;Drift_gillnets
GND_LPF_>=100_0;NA;NA;;GND_LPF;GND;NA;Static;Drift_gillnets
GND_SPF_0_0_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_0_40_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_10_30_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_120_219_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_50_59_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_50_70_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_60_79_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_80_99_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_90_99_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GND_SPF_>=100_0;NA;NA;;GND_SPF;GND;NA;Static;Drift_gillnets
GNF_DEF_0;;NA;;GNF_DEF;GNF;NA;Static;Gillnet
GNF_DEF_624;NA;NA;;GNF_DEF;GNF;NA;Static;Gillnet
GNS_ANA_0_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_100-109_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_110-156_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_157-219_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_31-49_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_60-69_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_70-79_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_80-89_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_90-99_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_>=157_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_ANA_>=220_0_0;NA;NA;;GNS_ANA;GNS;NA;Static;Gillnet
GNS_CAT_0_0_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_0_40_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_100_119_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_157-219_0_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_50_59_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_50_70_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_60_79_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_80_99_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_>0_0_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CAT_>=100_0;NA;NA;;GNS_CAT;GNS;NA;Static;Gillnet
GNS_CEP_0_0_0;NA;NA;;GNS_CEP;GNS;NA;Static;Gillnet
GNS_CRU_0;;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_0-0_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_0_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_0_40_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_10-30_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_100-119_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_100_119_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_10_30_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_120-219_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_120_219_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_40_49_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_50-70_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_50_59_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_50_70_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_60_79_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_624;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_80_99_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_90-99_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_90_99_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_>0_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_>=100_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_>=220_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_CRU_>=220_0_0;NA;NA;;GNS_CRU;GNS;NA;Static;Gillnet
GNS_DEF_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_0-0_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_0_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_0_40_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_10-30_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_100-109_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_100-119_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_100_119_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_10_30_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_110-156;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_110-156_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_110-156_0_0_;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_110-156_0_0_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_110_156_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_120-219;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_120-219_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_120_219_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_1249;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_149;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_157-219_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_31-49_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_349;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_40_49_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_50-59_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_50-70_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_50_59_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_50_70_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_60-69_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_60-79_0_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_60_79_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_624;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_70-79_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_71-89_0_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_80-89_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_80-99_0_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_80_99_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_874;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_90-109_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_90-99;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_90-99_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_90_99_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_<10_0_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_>=100_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_>=100_0_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_>=157_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_>=220;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_>=220_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_>=220_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_UND_0_0;;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_UNK;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DEF_misc_0_0;NA;NA;;GNS_DEF;GNS;NA;Static;Gillnet
GNS_DWS_0;;NA;;GNS_DWS;GNS;NA;Static;Gillnet
GNS_DWS_0_0_0;NA;NA;;GNS_DWS;GNS;NA;Static;Gillnet
GNS_DWS_100-119_0_0;;NA;;GNS_DWS;GNS;NA;Static;Gillnet
GNS_DWS_120-219_0_0;;NA;;GNS_DWS;GNS;NA;Static;Gillnet
GNS_DWS_>=220_0_0;;NA;;GNS_DWS;GNS;NA;Static;Gillnet
GNS_FIF_0_0_0;NA;NA;;GNS_FIF;GNS;NA;Static;Gillnet
GNS_FWS_0_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_10-30_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_100-109_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_110-156_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_157-219_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_31-49_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_50-59_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_60-69_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_70-79_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_80-89_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_90-99_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_>0_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_>=220_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_FWS_NA_0_0;NA;NA;;GNS_FWS;GNS;NA;Static;Gillnet
GNS_LPF_0_0_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_0_40_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_100_119_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_120-219_0_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_120_219_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_40_49_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_50_59_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_50_70_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_60_79_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_80_99_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_LPF_>=100_0;NA;NA;;GNS_LPF;GNS;NA;Static;Gillnet
GNS_MCD_100-119_0_0;NA;NA;;GNS_MCD;GNS;NA;Static;Gillnet
GNS_MCD_120-219_0_0;NA;NA;;GNS_MCD;GNS;NA;Static;Gillnet
GNS_MOL_10-30_0_0;NA;NA;;GNS_MOL;GNS;NA;Static;Gillnet
GNS_MOL_50-70_0_0;NA;NA;;GNS_MOL;GNS;NA;Static;Gillnet
GNS_MOL_>0_0_0;NA;NA;;GNS_MOL;GNS;NA;Static;Gillnet
GNS_MOL_>=220_0_0;;NA;;GNS_MOL;GNS;NA;Static;Gillnet
GNS_MPD_120-219_0_0;NA;NA;;GNS_MPD;GNS;NA;Static;Gillnet
GNS_MPD_>=220_0_0;NA;NA;;GNS_MPD;GNS;NA;Static;Gillnet
GNS_NOC_120-219_0_0;;NA;;GNS_NOC;GNS;NA;Static;Gillnet
GNS_NOC_>=220_0_0;;NA;;GNS_NOC;GNS;NA;Static;Gillnet
GNS_SPF_0;;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_0-0_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_0_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_0_40_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_10-30_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_100-119_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_100_119_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_10_30_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_110-156_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_120-219_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_120_219_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_157-219_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_16-109;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_16-109_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_31-49_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_32-109_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_40_49_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_50-59_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_50-70_0_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_50_59_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
GNS_SPF_50_70_0;NA;NA;;GNS_SPF;GNS;NA;Static;Gillnet
